,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
66,France,"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",,86,15,Burgundy,MÃ¢con-Milly Lamartine,,Roger Voss,@vossroger,Vignerons des Terres SecrÃ¨tes 2015  MÃ¢con-Milly Lamartine,Chardonnay,Vignerons des Terres SecrÃ¨tes
67,US,"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",Inspired,86,46,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars
68,US,"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",,86,12,California,California,California Other,Jim Gordon,@gordone_cellars,Cocobon 2014 Red (California),Red Blend,Cocobon
69,France,"This cooperative, based in AÃ¿, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.",Brut RosÃ©,86,55,Champagne,Champagne,,Roger Voss,@vossroger,Collet NV Brut RosÃ©  (Champagne),Champagne Blend,Collet
70,US,"Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.",,86,12,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,Drumheller
71,US,"Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.",Old Vine,86,40,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Eco Terreno
72,Italy,"Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.",Daginestra,86,32,Southern Italy,Aglianico del Vulture,,Kerin Oâ€™Keefe,@kerinokeefe,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,Grifalco
73,US,"Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.",Bella Vetta Vineyard,86,75,California,Howell Mountain,Napa,Virginie Boone,@vboone,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Hindsight
74,US,This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.,Estate Grown,86,55,California,Calistoga,Napa,Virginie Boone,@vboone,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Petite Sirah,Hindsight
75,US,"This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.",The Cypher,86,75,California,Napa Valley,Napa,Virginie Boone,@vboone,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Bordeaux-style Red Blend,Mulvane Wine Co.
76,Germany,"Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.",,86,9,Rheinhessen,,,Anna Lee C. Iijima,,Schmitt SÃ¶hne 2015 Riesling (Rheinhessen),Riesling,Schmitt SÃ¶hne
77,Australia,"This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.",Made With Organic Grapes,86,18,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Yalumba
78,US,"Some rosÃ©s are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.",RosÃ© of,86,25,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwineÂ ,Z'IVO 2015 RosÃ© of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO
79,Portugal,"Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessibleâ€”with black fruits and light tannins for this grape. It is ready to drink.",BridÃ£o,86,,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2014 BridÃ£o Touriga Nacional (Tejo),Touriga Nacional,Adega Cooperativa do Cartaxo
80,Chile,"Caramelized oak and vanilla aromas are front and center on a barrel-heavy nose. This feels a bit choppy, with astringent tannins. Herbal salty plum flavors wear a lot of oaky makeup, while this finishes with a forced woody flavor.",Special Release Reserva,86,12,Rapel Valley,,,Michael Schachner,@wineschach,Aresti 2014 Special Release Reserva CarmenÃ¨re (Rapel Valley),CarmenÃ¨re,Aresti
81,Spain,"Bland, mature aromas of white fruits are on the weak side for AlbariÃ±o. This feels round and oily, while briny leesy flavors lack pop and precision. A grabby aged finish is short on the free flow that this grape and region are known for. Drink immediately or wait for a newer vintage.",,86,16,Galicia,RÃ­as Baixas,,Michael Schachner,@wineschach,Spyro 2014 AlbariÃ±o (RÃ­as Baixas),AlbariÃ±o,Spyro
82,France,"This fruity, sweet wine is immediately attractive and ripe. With its great apricot and pineapple fruit, hints of spicy wood and balancing acidity, it's perfect as an apÃ©ritifâ€”light and refreshing. Drink now.",La RÃ©serve,86,11,France Other,Vin de France,,Roger Voss,@vossroger,Lionel Osmin & Cie 2016 La RÃ©serve Petit Manseng (Vin de France),Petit Manseng,Lionel Osmin & Cie
83,Australia,"Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.",Jester Sangiovese,86,20,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Mitolo 2016 Jester Sangiovese RosÃ© (McLaren Vale),RosÃ©,Mitolo
84,US,"A healthy addition of 13% Petite Sirah provides added weight and intensity to this wine, a soft, supple and richly conceived combination of smoky black fruit and mocha.",Classic,86,24,California,Napa Valley,Napa,Virginie Boone,@vboone,Napa Cellars 2014 Classic Zinfandel (Napa Valley),Zinfandel,Napa Cellars
85,Germany,"Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.",Undone Dry,86,10,Rheinhessen,,,Anna Lee C. Iijima,,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Riesling,P.J. Valckenberg
86,US,"Vibrant aromas of ripe pear, white flowers and melon are followed by a just off-dry palate, with lean fruit flavors.",,86,20,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Palencia 2016 AlbariÃ±o (Ancient Lakes),AlbariÃ±o,Palencia
87,US,"Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.",Blau Vineyards,86,55,California,Knights Valley,Sonoma,Virginie Boone,@vboone,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,Passaggio
88,Italy,"Subdued aromas of French oak, toast and acacia waft out of the glass. The rather lean palate offers oak-driven spice, chopped herb and a hint of citrus set against racy acidity. It's rather shy on fruit richness.",Le Mandorle Riserva,86,29,Tuscany,Vernaccia di San Gimignano,,Kerin Oâ€™Keefe,@kerinokeefe,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Vernaccia,Poggio Alloro
89,Italy,"Made primarily from Sangiovese, with some Malvasia and other white grapes, this offers aromas of red berry and a yeasty whiff of bread dough. The bright, enjoyable palate offers ripe cherry and hint of pastry cream while a note of honeydew melon marks the close.",,88,19,Tuscany,Toscana,,Kerin Oâ€™Keefe,@kerinokeefe,Fattoria Sardi 2015 Rosato (Toscana),Rosato,Fattoria Sardi
90,US,"This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.",Siena,88,23,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano
91,US,"This wine has a touch of perceptible sweetness on its tropical nose, yet tastes dry, showing a straightforward approach to this crisp, coastal-grown variety. Apricot, melon and guava wrap around a lightness of body and texture.",,88,18,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Folie Ã  Deux 2015 Pinot Gris (Sonoma Coast),Pinot Gris,Folie Ã  Deux
92,US,"All red Bordeaux varieties are represented in this blend, except for Petit Verdot. Together, they offer a simple tannic structure that strengthens a chewiness of leather, tobacco and a touch of cedar. Full bodied, it's a ripe, bold and brawny wine.",Magnificat,88,55,California,Napa Valley,Napa,Virginie Boone,@vboone,Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,Franciscan
93,Austria,"Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.",,88,12,Burgenland,,,Anne KrebiehlÂ MW,@AnneInVino,Fuchs 2015 GrÃ¼ner Veltliner (Burgenland),GrÃ¼ner Veltliner,Fuchs
94,US,"Barrel notes are prominent, with aromas of Creamsicle and baking spice. The palate is broad and dry with stone-fruit and barrel flavors. It provides intrigue but the wood seems to get in the way at times.",Grand Klasse Reserve Lawrence Vineyards,88,22,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,GÃ¥rd 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,GÃ¥rd
95,France,"This is a dense wine, packed with both tannins and acidity. It brings out the ageworthiness of this appellation with its rich potential and dark mineral texture. Drink this concentrated cru wine from 2018.",,88,20,Beaujolais,JuliÃ©nas,,Roger Voss,@vossroger,Henry Fessy 2015  JuliÃ©nas,Gamay,Henry Fessy
96,France,"The wine comes from one of the cru estates followed by this negociant house. It is a light, ripe and fruity wine. With its attractive red-berry flavors, finished with crisp acidity, it is accessible and ready to drink.",,88,18,Beaujolais,RÃ©gniÃ©,,Roger Voss,@vossroger,Henry Fessy 2015  RÃ©gniÃ©,Gamay,Henry Fessy
97,US,A wisp of bramble extends a savory tone from nose to finish on this otherwise bright bristling wine. Delicate honey tones register as off dry on the palate but balance neatly alongside flavors of freshly pressed apples and pears. The finish is marked by a touch of pencil lead. Drink now through 2020.,Ingle Vineyard,88,20,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,Heron Hill
98,Italy,"Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.",Dono Riserva,88,30,Tuscany,Morellino di Scansano,,Kerin Oâ€™Keefe,@kerinokeefe,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Serpaia di Endrizzi
99,US,"This blends 20% each of all five red-Bordeaux varieties, showing grapy, plummy flavor that's juicy and soft on the palate. With a core of tobacco, tar and graphite, it complements the fruity with the savory, ending simply and elegantly.",Intreccio Library Selection,88,75,California,Napa Valley,Napa,Virginie Boone,@vboone,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,Soquel Vineyards
100,US,"Fresh apple, lemon and pear flavors are accented by a hint of smoked nuts in this bold, full-bodied Pinot Gris. Rich and a bit creamy in mouthfeel yet balanced briskly, it's a satisfying white with wide pairing appeal. Drink now through 2019.",,88,18,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Ventosa 2015 Pinot Gris (Finger Lakes),Pinot Gris,Ventosa
101,US,"Dusty mineral, smoke and struck flint lend a savory tone to this lean light-bodied Riesling. Off dry in style, the palate offers delicately concentrated flavors of red apple and nectarine off set by tangerine acidity. Drink now through 2021.",Red Oak Vineyard,87,20,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
102,US,Intensely smoky tones of struck flint and ash extend throughout this otherwise bright nimble Riesling. The palate boasts freshly pressed apple and pear flavors accentuated by zippy lemon-lime acidity. Drink now through 2021.,Yellow Dog Vineyard,87,20,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
103,Chile,"A bright nose with green apple and citric aromas comes with mild oak. This is acidic and racy in composition, with roundness along the edges of the palate. Apple and nectarine flavors are lightly oaked and salty, while this holds form on a high-acid finish.",Single Vineyard Falaris Hill,87,18,Leyda Valley,,,Michael Schachner,@wineschach,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chardonnay,Leyda
104,Italy,"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.",Nativo,87,16,Tuscany,Toscana,,Kerin Oâ€™Keefe,@kerinokeefe,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Madonna Alta
105,Italy,"Made predominantly with Trebbiano and Malvasia, along with Pinot Bianco, Pinot Grigio and Riesling Renano, this has inviting aromas of ripe orchard fruit and citrus. The round fruity palate doles out ripe apricot, orange zest and juicy pineapple.",Villa Antinori,87,14,Tuscany,Toscana,,Kerin Oâ€™Keefe,@kerinokeefe,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Marchesi Antinori
106,Italy,"A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Sangiovese, this pleasant red has aromas of dark-skinned fruit, toast and a whiff of espresso. The light-bodied, straightforward palate offers cherry, red currant and a hint of light spice alongside zesty acidity and polished tannins.",Castiglioni,87,30,Tuscany,Toscana,,Kerin Oâ€™Keefe,@kerinokeefe,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Marchesi de' Frescobaldi
107,Italy,"Aromas of yellow stone fruit, white spring flower and a whiff of citrus lift out of the glass. The soft round palate offers ripe apricot, yellow peach and a hint of candied nectarine zest.",Ammiraglia Massovivo,87,18,Tuscany,Toscana,,Kerin Oâ€™Keefe,@kerinokeefe,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),Vermentino,Marchesi de' Frescobaldi
108,US,"Lots of spearmint, coyote mint, hot licorice, ginger snaps and Dr Pepper spice up the strawberry fruit of this wine that provides a very herbal take on the grape. Oregano, marjoram, thyme and dill all make a showing on the sip, against a backbone of sweet cherry and blackberry fruit, finishing on cedar.",J.D. Hurley,87,26,California,Santa Clara Valley,Central Coast,Matt Kettmann,@mattkettmann,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Zinfandel,Martin Ranch
109,Italy,"An easy-drinking blend of Merlot, Sangiovese and Cabernet Sauvignon, this opens with aromas of red berry, toast, herb and roasted coffee bean. The soft palate offers black cherry, mocha and a hint of coffee alongside bright acidity and silky tannins. Drink now.",Le Volte,87,30,Tuscany,Toscana,,Kerin Oâ€™Keefe,@kerinokeefe,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Ornellaia
110,France,"Produced from cru vines at the base of Mount Brouilly, the wine has structure as well as ripe black-plum fruits. It is generous and its fruit is well balanced by acidity and solid tannins. The wines is ready to drink.",Les Quartelets,87,23,Beaujolais,Brouilly,,Roger Voss,@vossroger,Pardon et Fils 2015 Les Quartelets  (Brouilly),Gamay,Pardon et Fils
111,US,"This 100% varietal wine opens in a heady aroma of leather pouch, clove and marshmallow. Both herbaceous and tannic, it begs for more time in the bottle or substantial swirling in the glass.",Wolff Vineyard,87,85,California,Yountville,Napa,Virginie Boone,@vboone,PiÃ±a 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,PiÃ±a
112,Italy,"Made with 90% Merlot and 10% Alicante, this easygoing red opens with delicate aromas suggesting red currant and baking spice. The straightforward palate delivers red plum and clove alongside soft tannins. Enjoy soon.",Semifonte,87,15,Tuscany,Toscana,,Kerin Oâ€™Keefe,@kerinokeefe,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Podere Ciona
113,Italy,"Made with Vermentino, Malvasia di Candia Aromatica and Petit Manseng, this easy-drinking white has aromas of fragrant white wild flower, citrus and white stone fruit. The ripe round palate offers apricot, lime and a hint of saline.",Poetico,87,19,Tuscany,Toscana,,Kerin Oâ€™Keefe,@kerinokeefe,Poggioventoso 2015 Poetico White (Toscana),White Blend,Poggioventoso
114,US,"Tar, dried meat, olallieberry and sharp cedar aromas show on this blend of 51% Cabernet Sauvignon and 49% Merlot. Dried strawberries and plums mix with thyme and dried rose petals on the palate.",BDX,87,18,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pull 2012 BDX Red (Paso Robles),Bordeaux-style Red Blend,Pull
115,US,"Poached pears, yellow apples and a touch of butter show on the classic nose of this Chardonnay that holds to steely frame. Very sharp acidity kicks off the sip, where Pink Lady apples and warm vanilla surround a tight minerality. It's both sharp and slightly sweet.",,87,18,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pull 2013 Chardonnay (Paso Robles),Chardonnay,Pull
116,US,"The distinctive nose on this bottling is tight yet tropical, with mango, pineapple, pear skins, orange rinds, dried lime peels and a gin-like juniper all converging. The palate offers a balance between tightly woven texture and ripe tropicality, with lime rinds, mango and petrol touches.",Camp 4 Vineyard,87,25,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley),Grenache Blanc,R2
117,US,"Baked red cherry, crushed clove, iron and rose petals make for standard aromas on this bottling, although they are fairly light and simple here. There is a sizzle of acitity on the palate, where juicy strawberry and olallieberry flavors are easy to enjoy, made more complex by graphite and cedar touches.",Estate,87,44,California,Central Coast,,Matt Kettmann,@mattkettmann,Rideau 2014 Estate Syrah,Syrah,Rideau
118,Italy,"A blend of 50% Cabernet Sauvignon, 30% Merlot and 20% Sangiovese, this offers aromas of black currant, caramel and mocha. The dense palate delivers toast, leather and cedar alongside teeth-coating tannins that grip the finish.",Toscano,87,80,Tuscany,Toscana,,Kerin Oâ€™Keefe,@kerinokeefe,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Tenuta Forconi
119,France,"Medium-gold in color. Complex and inviting nose layered with a strong earthy minerality, vibrant bright fruit and intriguing notes of petrol and honey. On the palate it is racy, taut and focused full of well defined ripe succulent citrus and stone fruit. Rich, viscous texture perfectly balanced by the wine's crispness and almost steely minerality. Very long, juicy, lingering finish.",Schoenenbourg Grand Cru Vendanges Tardives,92,80,Alsace,Alsace,,,,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),Riesling,Dopff & Irion
120,Italy,"Slightly backward, particularly given the vintage, the wine has a complex nose with plenty of dark fruit, Turkish delight, smoked meat and earth. A full rich palate, slightly soft, it begins to run out of steam a little in mid palate, but returns with a flourish, and the finish is long and nuanced. Will repay 5+ years of cellaring.",Bricco Rocche PrapÃ³,92,70,Piedmont,Barolo,,,,Ceretto 2003 Bricco Rocche PrapÃ³  (Barolo),Nebbiolo,Ceretto
121,US,"The vineyard is one of the better Chardonnay sources in Alexander Valley, and in this fine vintage it lends ripe pineapple, pear, Key lime pie and Mandarin orange flavors to the wine. Lots of toasty new oak adds buttered toast and vanilla, but the wood influence is in balance. Classic Burgundian-style California Chardonnay, rich and opulent.",Stuhlmuller Vineyard,92,36,California,Alexander Valley,Sonoma,,,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),Chardonnay,Matrix
122,US,"Defines Rockpile Zinfandel in intensity of fruit and high alcohol which is in keeping with the volume. There are few red wines in the world like this. It's fully dry, with potent flavors of baked blackberries, blackcurrants, cola and peppery spices, and the tannins are huge, but negotiable. Demands the richest grilled meats and cheeses.",Rockpile Cemetary Vineyard,92,39,California,Rockpile,Sonoma,,,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),Zinfandel,Mauritson
123,Australia,"The blend is roughly two-thirds Shiraz and one-third Cabernet, and the result combines berries with cassis and generosity with structure, all framed by toasty oak. Savory in character, long and dusty on the finish. Drink now-2018.",Parson's Flat,92,40,South Australia,Padthaway,,Joe Czerwinski,@JoeCz,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Shiraz-Cabernet Sauvignon,Henry's Drive Vignerons
124,US,"This sophisticated wine is mostly Cabernet Sauvignon, which accounts for the firm tannins and dense structure as well as most of the blackberries and blackcurrants. Smaller amounts of Merlot and Cabernet Franc add cherries and violets, while oak contributes smoky complexities. Rich and elegant, the wine provides lovely drinking now.",,92,45,California,Napa Valley,Napa,,,Silverado 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Silverado
125,South Africa,"Etienne Le Riche is a total Cabernet specialist. With a tiny production of 5,000 cases across all his wines, this is boutique in the best sense. The Reserve Cabernets are, of course, the stars. This 2003 is fruit and wood driven, a powerful but still elegant wine, with black plums, tannins and super-ripe fruits.",Cabernet Sauvignon Reserve,91,45,Stellenbosch,,,Roger Voss,@vossroger,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Le Riche
126,France,"Mid-gold color. Pronounced and enticing aromas of ripe citrus and stone fruit, layered with honey and floral notes with a touch of sweet spice. Rich and creamy texture packed with sweet ripe juicy fruit, honey, spice and a twist of sage. Off-dry, deliciously smooth with fresh acidity and medium-body. An elegant wine with a long, creamy, spicy finish.",Vendages Tardives,91,48,Alsace,Alsace,,,,Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),GewÃ¼rztraminer,Pierre Sparr
